CMPD_CHEMBLID,exp,smiles,wACSF_Rad0_0,wACSF_Rad0_1,wACSF_Rad0_2,wACSF_Rad1_0,wACSF_Rad1_1,wACSF_Rad1_2,wACSF_Rad2_0,wACSF_Rad2_1,wACSF_Rad2_2,wACSF_Rad3_0,wACSF_Rad3_1,wACSF_Rad3_2,wACSF_Rad4_0,wACSF_Rad4_1,wACSF_Rad4_2,wACSF_Rad5_0,wACSF_Rad5_1,wACSF_Rad5_2,wACSF_Rad6_0,wACSF_Rad6_1,wACSF_Rad6_2,wACSF_Rad7_0,wACSF_Rad7_1,wACSF_Rad7_2,wACSF_Rad8_0,wACSF_Rad8_1,wACSF_Rad8_2,wACSF_Rad9_0,wACSF_Rad9_1,wACSF_Rad9_2,wACSF_Rad10_0,wACSF_Rad10_1,wACSF_Rad10_2,wACSF_Rad11_0,wACSF_Rad11_1,wACSF_Rad11_2,wACSF_Rad12_0,wACSF_Rad12_1,wACSF_Rad12_2,wACSF_Rad13_0,wACSF_Rad13_1,wACSF_Rad13_2,wACSF_Rad14_0,wACSF_Rad14_1,wACSF_Rad14_2,wACSF_Rad15_0,wACSF_Rad15_1,wACSF_Rad15_2,wACSF_Rad16_0,wACSF_Rad16_1,wACSF_Rad16_2,wACSF_Rad17_0,wACSF_Rad17_1,wACSF_Rad17_2,wACSF_Rad18_0,wACSF_Rad18_1,wACSF_Rad18_2,wACSF_Rad19_0,wACSF_Rad19_1,wACSF_Rad19_2,wACSF_Rad20_0,wACSF_Rad20_1,wACSF_Rad20_2,wACSF_Rad21_0,wACSF_Rad21_1,wACSF_Rad21_2,wACSF_Rad22_0,wACSF_Rad22_1,wACSF_Rad22_2,wACSF_Rad23_0,wACSF_Rad23_1,wACSF_Rad23_2,wACSF_Rad24_0,wACSF_Rad24_1,wACSF_Rad24_2,wACSF_Ang0_0,wACSF_Ang0_1,wACSF_Ang0_2,wACSF_Ang1_0,wACSF_Ang1_1,wACSF_Ang1_2,wACSF_Ang2_0,wACSF_Ang2_1,wACSF_Ang2_2,wACSF_Ang3_0,wACSF_Ang3_1,wACSF_Ang3_2,wACSF_Ang4_0,wACSF_Ang4_1,wACSF_Ang4_2,wACSF_Ang5_0,wACSF_Ang5_1,wACSF_Ang5_2,wACSF_Ang6_0,wACSF_Ang6_1,wACSF_Ang6_2,wACSF_Ang7_0,wACSF_Ang7_1,wACSF_Ang7_2,wACSF_Ang8_0,wACSF_Ang8_1,wACSF_Ang8_2,wACSF_Ang9_0,wACSF_Ang9_1,wACSF_Ang9_2,wACSF_Ang10_0,wACSF_Ang10_1,wACSF_Ang10_2,wACSF_Ang11_0,wACSF_Ang11_1,wACSF_Ang11_2,wACSF_Ang12_0,wACSF_Ang12_1,wACSF_Ang12_2,wACSF_Ang13_0,wACSF_Ang13_1,wACSF_Ang13_2,wACSF_Ang14_0,wACSF_Ang14_1,wACSF_Ang14_2,wACSF_Ang15_0,wACSF_Ang15_1,wACSF_Ang15_2,wACSF_Ang16_0,wACSF_Ang16_1,wACSF_Ang16_2,wACSF_Ang17_0,wACSF_Ang17_1,wACSF_Ang17_2,wACSF_Ang18_0,wACSF_Ang18_1,wACSF_Ang18_2,wACSF_Ang19_0,wACSF_Ang19_1,wACSF_Ang19_2,wACSF_Ang20_0,wACSF_Ang20_1,wACSF_Ang20_2,wACSF_Ang21_0,wACSF_Ang21_1,wACSF_Ang21_2,wACSF_Ang22_0,wACSF_Ang22_1,wACSF_Ang22_2,wACSF_Ang23_0,wACSF_Ang23_1,wACSF_Ang23_2,wACSF_Ang24_0,wACSF_Ang24_1,wACSF_Ang24_2,wACSF_Ang25_0,wACSF_Ang25_1,wACSF_Ang25_2,wACSF_Ang26_0,wACSF_Ang26_1,wACSF_Ang26_2,wACSF_Ang27_0,wACSF_Ang27_1,wACSF_Ang27_2
0,CHEMBL596271,3.54,Cn1c(CN2CCN(CC2)c3ccc(Cl)cc3)nc4ccccc14,45.0,0.0,0.0,45.0,0.0,0.0,45.0,0.0,0.0,45.0,0.0,0.0,45.0,0.0,0.0,45.0,0.0,0.0,24.0,21.0,0.0,40.0,5.0,0.0,28.0,12.0,5.0,22.0,16.0,7.0,34.0,9.0,2.0,44.0,1.0,0.0,44.0,0.0,1.0,44.0,1.0,0.0,45.0,0.0,0.0,41.0,4.0,0.0,23.0,22.0,0.0,41.0,4.0,0.0,33.0,12.0,0.0,32.0,13.0,0.0,41.0,4.0,0.0,44.0,1.0,0.0,43.0,2.0,0.0,45.0,0.0,0.0,45.0,0.0,0.0,45.0,0.0,0.0,7.0,36.0,2.0,4.0,25.0,16.0,40.0,5.0,0.0,45.0,0.0,0.0,45.0,0.0,0.0,45.0,0.0,0.0,45.0,0.0,0.0,45.0,0.0,0.0,45.0,0.0,0.0,45.0,0.0,0.0,45.0,0.0,0.0,45.0,0.0,0.0,45.0,0.0,0.0,45.0,0.0,0.0,45.0,0.0,0.0,41.0,4.0,0.0,45.0,0.0,0.0,45.0,0.0,0.0,45.0,0.0,0.0,45.0,0.0,0.0,45.0,0.0,0.0,45.0,0.0,0.0,45.0,0.0,0.0,45.0,0.0,0.0,45.0,0.0,0.0,45.0,0.0,0.0,45.0,0.0,0.0
1,CHEMBL1951080,-1.18,COc1cc(OC)c(cc1NC(=O)CSCC(=O)O)S(=O)(=O)N2C(C)CCc3ccccc23,59.0,0.0,0.0,59.0,0.0,0.0,59.0,0.0,0.0,59.0,0.0,0.0,59.0,0.0,0.0,57.0,2.0,0.0,41.0,18.0,0.0,57.0,2.0,0.0,42.0,13.0,4.0,33.0,18.0,8.0,44.0,11.0,4.0,55.0,4.0,0.0,53.0,4.0,2.0,53.0,6.0,0.0,59.0,0.0,0.0,58.0,1.0,0.0,47.0,12.0,0.0,58.0,1.0,0.0,46.0,13.0,0.0,42.0,17.0,0.0,52.0,7.0,0.0,53.0,6.0,0.0,53.0,6.0,0.0,59.0,0.0,0.0,59.0,0.0,0.0,59.0,0.0,0.0,36.0,23.0,0.0,7.0,27.0,25.0,14.0,41.0,4.0,59.0,0.0,0.0,59.0,0.0,0.0,59.0,0.0,0.0,59.0,0.0,0.0,59.0,0.0,0.0,59.0,0.0,0.0,59.0,0.0,0.0,59.0,0.0,0.0,59.0,0.0,0.0,59.0,0.0,0.0,59.0,0.0,0.0,59.0,0.0,0.0,47.0,12.0,0.0,59.0,0.0,0.0,59.0,0.0,0.0,59.0,0.0,0.0,59.0,0.0,0.0,59.0,0.0,0.0,59.0,0.0,0.0,59.0,0.0,0.0,59.0,0.0,0.0,59.0,0.0,0.0,59.0,0.0,0.0,59.0,0.0,0.0
2,CHEMBL1771,3.69,COC(=O)[C@@H](N1CCc2sccc2C1)c3ccccc3Cl,37.0,0.0,0.0,37.0,0.0,0.0,37.0,0.0,0.0,37.0,0.0,0.0,37.0,0.0,0.0,31.0,6.0,0.0,21.0,16.0,0.0,35.0,2.0,0.0,25.0,10.0,2.0,19.0,10.0,8.0,26.0,7.0,4.0,32.0,3.0,2.0,33.0,2.0,2.0,36.0,1.0,0.0,37.0,0.0,0.0,34.0,3.0,0.0,25.0,12.0,0.0,36.0,1.0,0.0,26.0,11.0,0.0,24.0,11.0,2.0,29.0,7.0,1.0,35.0,1.0,1.0,35.0,2.0,0.0,36.0,1.0,0.0,37.0,0.0,0.0,37.0,0.0,0.0,10.0,19.0,8.0,1.0,12.0,24.0,20.0,17.0,0.0,37.0,0.0,0.0,37.0,0.0,0.0,37.0,0.0,0.0,37.0,0.0,0.0,37.0,0.0,0.0,37.0,0.0,0.0,37.0,0.0,0.0,37.0,0.0,0.0,37.0,0.0,0.0,37.0,0.0,0.0,37.0,0.0,0.0,33.0,4.0,0.0,24.0,13.0,0.0,37.0,0.0,0.0,37.0,0.0,0.0,37.0,0.0,0.0,37.0,0.0,0.0,37.0,0.0,0.0,37.0,0.0,0.0,37.0,0.0,0.0,37.0,0.0,0.0,37.0,0.0,0.0,37.0,0.0,0.0,37.0,0.0,0.0
3,CHEMBL234951,3.37,OC[C@H](O)CN1C(=O)C(Cc2ccccc12)NC(=O)c3cc4cc(Cl)sc4[nH]3,46.0,0.0,0.0,46.0,0.0,0.0,46.0,0.0,0.0,46.0,0.0,0.0,46.0,0.0,0.0,44.0,2.0,0.0,46.0,0.0,0.0,44.0,2.0,0.0,32.0,14.0,0.0,27.0,18.0,1.0,36.0,10.0,0.0,43.0,2.0,1.0,44.0,1.0,1.0,45.0,1.0,0.0,46.0,0.0,0.0,45.0,1.0,0.0,42.0,4.0,0.0,45.0,1.0,0.0,45.0,1.0,0.0,38.0,8.0,0.0,45.0,1.0,0.0,46.0,0.0,0.0,46.0,0.0,0.0,46.0,0.0,0.0,46.0,0.0,0.0,46.0,0.0,0.0,11.0,32.0,3.0,6.0,21.0,19.0,29.0,17.0,0.0,46.0,0.0,0.0,46.0,0.0,0.0,46.0,0.0,0.0,46.0,0.0,0.0,46.0,0.0,0.0,46.0,0.0,0.0,46.0,0.0,0.0,46.0,0.0,0.0,46.0,0.0,0.0,46.0,0.0,0.0,46.0,0.0,0.0,43.0,3.0,0.0,34.0,12.0,0.0,46.0,0.0,0.0,46.0,0.0,0.0,46.0,0.0,0.0,46.0,0.0,0.0,46.0,0.0,0.0,46.0,0.0,0.0,46.0,0.0,0.0,46.0,0.0,0.0,46.0,0.0,0.0,46.0,0.0,0.0,46.0,0.0,0.0
4,CHEMBL565079,3.1,Cc1cccc(C[C@H](NC(=O)c2cc(nn2C)C(C)(C)C)C(=O)NCC#N)c1,55.0,0.0,0.0,55.0,0.0,0.0,55.0,0.0,0.0,55.0,0.0,0.0,55.0,0.0,0.0,53.0,2.0,0.0,54.0,1.0,0.0,51.0,4.0,0.0,42.0,12.0,1.0,36.0,16.0,3.0,43.0,10.0,2.0,53.0,2.0,0.0,55.0,0.0,0.0,55.0,0.0,0.0,55.0,0.0,0.0,53.0,2.0,0.0,49.0,6.0,0.0,54.0,1.0,0.0,55.0,0.0,0.0,50.0,5.0,0.0,53.0,2.0,0.0,55.0,0.0,0.0,55.0,0.0,0.0,55.0,0.0,0.0,55.0,0.0,0.0,55.0,0.0,0.0,25.0,29.0,1.0,9.0,15.0,31.0,25.0,30.0,0.0,55.0,0.0,0.0,55.0,0.0,0.0,55.0,0.0,0.0,55.0,0.0,0.0,55.0,0.0,0.0,55.0,0.0,0.0,55.0,0.0,0.0,55.0,0.0,0.0,55.0,0.0,0.0,55.0,0.0,0.0,55.0,0.0,0.0,55.0,0.0,0.0,41.0,14.0,0.0,55.0,0.0,0.0,55.0,0.0,0.0,55.0,0.0,0.0,55.0,0.0,0.0,55.0,0.0,0.0,55.0,0.0,0.0,55.0,0.0,0.0,55.0,0.0,0.0,55.0,0.0,0.0,55.0,0.0,0.0,55.0,0.0,0.0
5,CHEMBL317462,3.14,OC1(CN2CCC1CC2)C#Cc3ccc(cc3)c4ccccc4,44.0,0.0,0.0,44.0,0.0,0.0,44.0,0.0,0.0,44.0,0.0,0.0,43.0,1.0,0.0,43.0,1.0,0.0,33.0,11.0,0.0,42.0,2.0,0.0,30.0,13.0,1.0,23.0,16.0,5.0,33.0,8.0,3.0,40.0,4.0,0.0,44.0,0.0,0.0,44.0,0.0,0.0,44.0,0.0,0.0,44.0,0.0,0.0,24.0,20.0,0.0,43.0,1.0,0.0,36.0,8.0,0.0,26.0,16.0,2.0,39.0,5.0,0.0,44.0,0.0,0.0,44.0,0.0,0.0,44.0,0.0,0.0,44.0,0.0,0.0,44.0,0.0,0.0,6.0,22.0,16.0,7.0,26.0,11.0,43.0,1.0,0.0,44.0,0.0,0.0,44.0,0.0,0.0,44.0,0.0,0.0,44.0,0.0,0.0,44.0,0.0,0.0,44.0,0.0,0.0,44.0,0.0,0.0,44.0,0.0,0.0,44.0,0.0,0.0,44.0,0.0,0.0,44.0,0.0,0.0,40.0,4.0,0.0,41.0,3.0,0.0,44.0,0.0,0.0,44.0,0.0,0.0,44.0,0.0,0.0,44.0,0.0,0.0,44.0,0.0,0.0,44.0,0.0,0.0,44.0,0.0,0.0,44.0,0.0,0.0,44.0,0.0,0.0,44.0,0.0,0.0,44.0,0.0,0.0
6,CHEMBL1951182,-0.72,COc1cc(OC)c(cc1NC(=O)CCC(=O)O)S(=O)(=O)NCc2ccccc2N3CCCCC3,66.0,0.0,0.0,66.0,0.0,0.0,66.0,0.0,0.0,66.0,0.0,0.0,66.0,0.0,0.0,63.0,3.0,0.0,44.0,22.0,0.0,64.0,2.0,0.0,48.0,13.0,5.0,35.0,23.0,8.0,45.0,18.0,3.0,61.0,5.0,0.0,63.0,1.0,2.0,63.0,3.0,0.0,66.0,0.0,0.0,65.0,1.0,0.0,42.0,24.0,0.0,65.0,1.0,0.0,55.0,11.0,0.0,51.0,15.0,0.0,60.0,6.0,0.0,61.0,5.0,0.0,63.0,3.0,0.0,66.0,0.0,0.0,66.0,0.0,0.0,66.0,0.0,0.0,32.0,32.0,2.0,8.0,29.0,29.0,16.0,45.0,5.0,65.0,1.0,0.0,66.0,0.0,0.0,66.0,0.0,0.0,66.0,0.0,0.0,66.0,0.0,0.0,66.0,0.0,0.0,66.0,0.0,0.0,66.0,0.0,0.0,66.0,0.0,0.0,66.0,0.0,0.0,66.0,0.0,0.0,65.0,1.0,0.0,52.0,14.0,0.0,66.0,0.0,0.0,66.0,0.0,0.0,66.0,0.0,0.0,66.0,0.0,0.0,66.0,0.0,0.0,66.0,0.0,0.0,66.0,0.0,0.0,66.0,0.0,0.0,66.0,0.0,0.0,66.0,0.0,0.0,66.0,0.0,0.0
7,CHEMBL2030960,0.34,CNc1cccc(CCOc2ccc(C[C@H](NC(=O)c3c(Cl)cccc3Cl)C(=O)O)cc2C)n1,59.0,0.0,0.0,59.0,0.0,0.0,59.0,0.0,0.0,59.0,0.0,0.0,59.0,0.0,0.0,56.0,3.0,0.0,46.0,13.0,0.0,57.0,2.0,0.0,36.0,18.0,5.0,31.0,19.0,9.0,43.0,15.0,1.0,56.0,3.0,0.0,57.0,0.0,2.0,57.0,2.0,0.0,59.0,0.0,0.0,56.0,3.0,0.0,41.0,18.0,0.0,59.0,0.0,0.0,45.0,14.0,0.0,39.0,20.0,0.0,52.0,7.0,0.0,54.0,5.0,0.0,57.0,2.0,0.0,57.0,2.0,0.0,59.0,0.0,0.0,59.0,0.0,0.0,35.0,23.0,1.0,14.0,19.0,26.0,22.0,37.0,0.0,59.0,0.0,0.0,59.0,0.0,0.0,59.0,0.0,0.0,59.0,0.0,0.0,59.0,0.0,0.0,59.0,0.0,0.0,59.0,0.0,0.0,59.0,0.0,0.0,59.0,0.0,0.0,59.0,0.0,0.0,59.0,0.0,0.0,57.0,2.0,0.0,45.0,14.0,0.0,59.0,0.0,0.0,59.0,0.0,0.0,59.0,0.0,0.0,59.0,0.0,0.0,59.0,0.0,0.0,59.0,0.0,0.0,59.0,0.0,0.0,59.0,0.0,0.0,59.0,0.0,0.0,59.0,0.0,0.0,59.0,0.0,0.0
8,CHEMBL13097,3.05,COc1ccc(cc1)C2=COc3cc(OC)cc(OC)c3C2=O,39.0,0.0,0.0,39.0,0.0,0.0,39.0,0.0,0.0,39.0,0.0,0.0,39.0,0.0,0.0,39.0,0.0,0.0,30.0,9.0,0.0,35.0,4.0,0.0,20.0,12.0,7.0,17.0,14.0,8.0,33.0,6.0,0.0,39.0,0.0,0.0,39.0,0.0,0.0,39.0,0.0,0.0,39.0,0.0,0.0,38.0,1.0,0.0,32.0,7.0,0.0,36.0,3.0,0.0,27.0,11.0,1.0,24.0,14.0,1.0,38.0,1.0,0.0,38.0,1.0,0.0,39.0,0.0,0.0,39.0,0.0,0.0,39.0,0.0,0.0,39.0,0.0,0.0,10.0,19.0,10.0,5.0,17.0,17.0,30.0,9.0,0.0,39.0,0.0,0.0,39.0,0.0,0.0,39.0,0.0,0.0,39.0,0.0,0.0,39.0,0.0,0.0,39.0,0.0,0.0,39.0,0.0,0.0,39.0,0.0,0.0,39.0,0.0,0.0,39.0,0.0,0.0,39.0,0.0,0.0,33.0,6.0,0.0,30.0,9.0,0.0,39.0,0.0,0.0,39.0,0.0,0.0,39.0,0.0,0.0,39.0,0.0,0.0,39.0,0.0,0.0,39.0,0.0,0.0,39.0,0.0,0.0,39.0,0.0,0.0,39.0,0.0,0.0,39.0,0.0,0.0,39.0,0.0,0.0
9,CHEMBL1527751,2.25,Oc1ncnc2scc(c3ccsc3)c12,21.0,0.0,0.0,21.0,0.0,0.0,21.0,0.0,0.0,21.0,0.0,0.0,21.0,0.0,0.0,20.0,1.0,0.0,16.0,5.0,0.0,19.0,2.0,0.0,12.0,5.0,4.0,9.0,8.0,4.0,13.0,8.0,0.0,15.0,2.0,4.0,15.0,6.0,0.0,21.0,0.0,0.0,21.0,0.0,0.0,20.0,1.0,0.0,19.0,2.0,0.0,18.0,3.0,0.0,13.0,7.0,1.0,11.0,8.0,2.0,17.0,3.0,1.0,20.0,1.0,0.0,21.0,0.0,0.0,21.0,0.0,0.0,21.0,0.0,0.0,21.0,0.0,0.0,0.0,12.0,9.0,0.0,13.0,8.0,21.0,0.0,0.0,21.0,0.0,0.0,21.0,0.0,0.0,21.0,0.0,0.0,21.0,0.0,0.0,21.0,0.0,0.0,21.0,0.0,0.0,21.0,0.0,0.0,21.0,0.0,0.0,21.0,0.0,0.0,21.0,0.0,0.0,21.0,0.0,0.0,16.0,5.0,0.0,14.0,7.0,0.0,21.0,0.0,0.0,21.0,0.0,0.0,21.0,0.0,0.0,21.0,0.0,0.0,21.0,0.0,0.0,21.0,0.0,0.0,21.0,0.0,0.0,21.0,0.0,0.0,21.0,0.0,0.0,21.0,0.0,0.0,21.0,0.0,0.0
